Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Requisição HTTP Produto,322,1088,1279,2177,2199,2475,3,2484,0.000%,27.49552,1941.46,3.17
Requisição HTTP Vendedor,282,46,26,124,128,208,1,221,0.355%,28.58591,1870.81,3.28
TOTAL,604,602,131,1793,2179,2389,1,2484,0.166%,51.57544,3517.38,5.93
